customer_id,age_group,gender,loyalty_tier,total_orders,total_spend_usd,avg_rating_given,preferred_payment,preferred_branch,favorite_dish,first_order_date,last_order_date,repeat_customer,most_active_day
CUST-1001,55+,Female,Bronze,3,91.3,4.67,Cash,Airport,Chicken Biryani,2024-02-16,2024-11-03,Yes,Friday
CUST-1002,25-34,Female,Platinum,3,93.42,3.33,Online,Airport,Cheesecake,2024-03-18,2024-11-16,Yes,Monday
CUST-1003,18-24,Prefer not to say,Platinum,2,69.95,,Digital Wallet,City Center,Chicken Biryani,2024-08-06,2024-09-15,Yes,Sunday
CUST-1004,55+,Female,Bronze,4,33.28,4.0,Digital Wallet,Airport,Caesar Salad,2024-02-27,2024-11-18,Yes,Friday
CUST-1006,18-24,Male,Gold,4,57.9,5.0,Credit Card,Suburbs,Lemonade,2024-06-19,2024-12-28,Yes,Tuesday
CUST-1007,18-24,Prefer not to say,Silver,1,23.78,4.0,Debit Card,Downtown,Chicken Biryani,2024-02-01,2024-02-01,No,Thursday
CUST-1008,55+,Male,Silver,3,33.92,3.0,Cash,Downtown,Iced Coffee,2024-03-28,2024-09-18,Yes,Thursday
CUST-1009,45-54,Female,Platinum,1,8.49,5.0,Credit Card,City Center,Falafel Wrap,2024-05-13,2024-05-13,No,Monday
CUST-1010,25-34,Female,Bronze,1,70.1,4.0,Cash,Airport,Lamb Biryani,2024-10-29,2024-10-29,No,Tuesday
CUST-1011,55+,Female,Silver,1,34.47,,Cash,Suburbs,Double Cheeseburger,2024-08-25,2024-08-25,No,Sunday
CUST-1013,25-34,Male,Gold,1,42.45,5.0,Credit Card,City Center,Greek Salad,2024-07-25,2024-07-25,No,Thursday
CUST-1014,18-24,Female,Platinum,1,3.99,4.0,Cash,Downtown,French Fries,2024-05-30,2024-05-30,No,Thursday
CUST-1015,45-54,Prefer not to say,Platinum,2,46.02,5.0,Debit Card,Mall Branch,Classic Burger,2024-11-02,2024-12-29,Yes,Saturday
CUST-1016,45-54,Male,Gold,1,11.47,2.0,Digital Wallet,City Center,Spaghetti Carbonara,2024-01-22,2024-01-22,No,Monday
CUST-1017,35-44,Male,Bronze,2,42.94,4.5,Digital Wallet,Downtown,Classic Burger,2024-06-26,2024-10-05,Yes,Saturday
CUST-1018,18-24,Female,Bronze,1,17.98,4.0,Digital Wallet,Downtown,Classic Burger,2024-06-22,2024-06-22,No,Saturday
CUST-1019,55+,Male,Silver,1,17.98,,Digital Wallet,City Center,Classic Burger,2024-08-08,2024-08-08,No,Thursday
CUST-1020,18-24,Female,Silver,1,8.49,,Credit Card,Mall Branch,Falafel Wrap,2024-02-03,2024-02-03,No,Saturday
CUST-1021,35-44,Male,Bronze,2,66.41,3.5,Cash,Downtown,Cheesecake,2024-02-23,2024-06-24,Yes,Friday
CUST-1022,35-44,Female,Platinum,1,35.97,5.0,Cash,City Center,Penne Arrabbiata,2024-11-02,2024-11-02,No,Saturday
CUST-1023,35-44,Female,Bronze,6,130.53,4.5,Cash,Suburbs,Spaghetti Carbonara,2024-01-22,2024-11-05,Yes,Saturday
CUST-1024,55+,Prefer not to say,Gold,3,40.43,4.0,Cash,City Center,Ice Cream Sundae,2024-02-10,2024-11-26,Yes,Saturday
CUST-1025,18-24,Male,Gold,1,10.98,4.0,Online,Downtown,Mango Smoothie,2024-03-16,2024-03-16,No,Saturday
